name;email;age
Nicolas Becerini;nicobecerini@icloud.com;37
María Gómez;maria.gomez@example.com;29
Juan Pérez;juan.perez@example.com;42
Lucía Fernández;lucia.fernandez@example.com;33
Carlos Rodríguez;carlos.rodriguez@example.com;50
Ana Martínez;ana.martinez@example.com;27
Diego López;diego.lopez@example.com;31
Sofía Sánchez;sofia.sanchez@example.com;24
Miguel Torres;miguel.torres@example.com;38
Valeria Ruiz;valeria.ruiz@example.com;26
Pablo Herrera;pablo.herrera@example.com;45
Isabela Morales;isabela.morales@example.com;22
Fernando Castro;fernando.castro@example.com;40
Camila Navarro;camila.navarro@example.com;35
Andrés Vázquez;andres.vazquez@example.com;28

